Iteration,Random_Search_Acc,BO_Acc
1.000000000000000000e+00,5.699999928474426270e-01,6.349999904632568359e-01
2.000000000000000000e+00,8.600000143051147461e-01,8.550000190734863281e-01
3.000000000000000000e+00,8.600000143051147461e-01,8.550000190734863281e-01
4.000000000000000000e+00,8.999999761581420898e-01,8.600000143051147461e-01
5.000000000000000000e+00,8.999999761581420898e-01,8.600000143051147461e-01
6.000000000000000000e+00,8.999999761581420898e-01,8.600000143051147461e-01
7.000000000000000000e+00,8.999999761581420898e-01,9.100000262260437012e-01
8.000000000000000000e+00,8.999999761581420898e-01,9.100000262260437012e-01
9.000000000000000000e+00,8.999999761581420898e-01,9.100000262260437012e-01
1.000000000000000000e+01,8.999999761581420898e-01,9.100000262260437012e-01
1.100000000000000000e+01,8.999999761581420898e-01,9.100000262260437012e-01
1.200000000000000000e+01,8.999999761581420898e-01,9.100000262260437012e-01
1.300000000000000000e+01,8.999999761581420898e-01,9.100000262260437012e-01
1.400000000000000000e+01,8.999999761581420898e-01,9.100000262260437012e-01
1.500000000000000000e+01,8.999999761581420898e-01,9.200000166893005371e-01
1.600000000000000000e+01,8.999999761581420898e-01,9.200000166893005371e-01
1.700000000000000000e+01,8.999999761581420898e-01,9.200000166893005371e-01
1.800000000000000000e+01,8.999999761581420898e-01,9.200000166893005371e-01
1.900000000000000000e+01,8.999999761581420898e-01,9.200000166893005371e-01
2.000000000000000000e+01,8.999999761581420898e-01,9.200000166893005371e-01
